영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20208810,터키쉬 아이스크림,Turkish Ice-Cream,2019,20201112,장편,개봉,기타,"코미디,전쟁,드라마",기타,코미디,[{'peopleNm': '칸 울카이'}],정보 없음,정보 없음
20208388,마치다군의 세계 ,Almost a Miracle,2019,20201112,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,[{'peopleNm': '이시이 유야'}],정보 없음,정보 없음
20201229,부자의교환섹스 - 무삭제,,2020,20201111,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],정보 없음,정보 없음
20205284,매지컬: 공주를 웃겨라,,2020,20200917,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '정윤철'}],정보 없음,정보 없음
20200205,더 인터프리터,The Interpreter,2018,20201106,장편,개봉,프랑스,"드라마,코미디",프랑스,드라마,[{'peopleNm': '마틴 술릭'}],정보 없음,정보 없음
20207255,학교는 끝났다,"School’s Out, L'heure de la sortie",2018,20201104,장편,개봉,프랑스,"미스터리,스릴러",프랑스,미스터리,[],정보 없음,정보 없음
20209495,아트 오브 더 데드,Art of the Dead,2019,20201104,장편,개봉,미국,"드라마,공포(호러),미스터리",미국,드라마,[{'peopleNm': '롤프 카네프스키'}],정보 없음,정보 없음
20209370,킹덤 오브 헤븐: 디렉터스 컷,Kingdom Of Heaven: Director’s Cut,2005,20201111,장편,개봉,영국,액션,영국,액션,[{'peopleNm': '리들리 스콧'}],정보 없음,정보 없음
20180743,스윈들러,SWINDLER,2018,20201008,장편,개봉,한국,"드라마,범죄,코미디",한국,드라마,[{'peopleNm': '이동환'}],정보 없음,정보 없음
20208508,미스터트롯: 더 무비,,2020,20201022,장편,개봉,한국,공연,한국,공연,[{'peopleNm': '전수경'}],정보 없음,정보 없음
20208393,극장판 요괴워치: 포에버 프렌즈,,2019,20201015,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '타카하시 시게하루'}],정보 없음,정보 없음
20209304,다만 악에서 구하소서 파이널컷,DELIVER US FROM EVIL FINALCUT,2020,20201028,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '홍원찬'}],정보 없음,정보 없음
