영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20226032,치욕 다음 욕정 무삭제판,HOMELESSNI OKASARETA,2022,20220727,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '나기라 겐조'}],정보 없음,정보 없음
20226202,변태 상사에게 조련되버린 아내,BUKANITYOUKYOUSARETE KAIRAKU-03,2021,20221228,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '아베 신야'}],정보 없음,정보 없음
20212736,불량탐정 캠코인,,2021,20220121,장편,개봉,한국,"성인물(에로),코미디,범죄",한국,성인물(에로),[{'peopleNm': '리차드 킴'}],정보 없음,정보 없음
20228879,동정여행 떠나는 새엄마,,2021,20221201,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '츠지 코지'}],정보 없음,정보 없음
20207261,욕망: 신세계,Bungo 1,2020,20220511,옴니버스,개봉,일본,"드라마,멜로/로맨스",일본,드라마,[{'peopleNm': '야마시타 노부히로'}],정보 없음,정보 없음
20211191,힐링하우스 : 섹스의 왕국,,2021,20220510,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '윤수현'}],정보 없음,정보 없음
20229496,굶주린 누나들,,2022,20221231,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '함성한'}],정보 없음,정보 없음
20227313,위험한 파트너- 가정부,,2022,20221230,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '이가온'}],정보 없음,정보 없음
20228827,원 모어 나이트,Trip Of My Life,2022,20221229,장편,개봉,아일랜드,"성인물(에로),드라마",아일랜드,성인물(에로),[],정보 없음,정보 없음
20227799,MZ세대 섹스 다이어리,,2020,20221228,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],정보 없음,정보 없음
20226222,이웃여자:질펀한 플레이,BAKUNYUUTUMA-02,2021,20221228,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '디렉터 O'}],정보 없음,정보 없음
20229395,유부녀의 욕정에 발정난 동정남,,2020,20221228,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],정보 없음,정보 없음
20229332,이모랑 하는 욕정놀이,,2022,20221227,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '모소조쿠'}],정보 없음,정보 없음
20229353,옆집이모는 배꼽친구,,2022,20221227,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '모소조쿠'}],정보 없음,정보 없음
20229292,세웠더니 싸드라,,2022,20221227,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '모소조쿠'}],정보 없음,정보 없음
20229178,맛가버린 맛사지,,2022,20221227,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '모소조쿠'}],정보 없음,정보 없음
20229191,그녀의 욕정 테라피,,2022,20221227,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '모소조쿠'}],정보 없음,정보 없음
20228092,2대1 돈 많은 남자 후리기,,2022,20221226,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '김혜성'}],정보 없음,정보 없음
20226022,내 학생의 엄마 6 무삭제,,2022,20221226,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '김환'}],정보 없음,정보 없음
20228315,쾌감 과외 선생님,,2022,20221222,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],정보 없음,정보 없음
20229077,캠핑장 변태 여주인,,2022,20221222,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '한동연'}],정보 없음,정보 없음
20228314,완전 예약제 오일 마사지,,2022,20221222,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '드래곤 니시카와'}],정보 없음,정보 없음
20229147,수상한 캠핑장 : MZ 아가씨들,,2022,20221222,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '최정자'}],정보 없음,정보 없음
20229169,벼랑 끝의 남매,Siblings of the Cape,2018,20221222,장편,개봉,일본,드라마,일본,드라마,[],정보 없음,정보 없음
20228318,아버님을 세운 며느라기,,2022,20221221,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[],정보 없음,정보 없음
20229364,매니저 오빠에게 당하는 어린 알바들,,2022,20221221,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '강은수'}],정보 없음,정보 없음
20228870,옆집 유부녀 : 처음엔 거부 나중엔 신음,,2022,20221220,장편,개봉,일본,성인물(에로),일본,성인물(에로),[],정보 없음,정보 없음
20228989,수지의전라실제정사,,2021,20221220,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '김승환'}],정보 없음,정보 없음
20225282,옆집 흑형 : 사랑의 몽둥이 무삭제,,2022,20221219,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '최홍준'}],정보 없음,정보 없음
